"STATIONID"	"COMID"	"BFICat_Import"	"NWs_Import"
"testerror"	1.11e+12	3333	33333
"GMW_01_0003"	3923043	39.03705315	0.159844861
"GMW_01_0004"	3923043	39.03705315	0.159844861
"GMW_01_0005"	3922889	35.46124031	0.149898173
"GMW_01_0006"	3922903	36.42087977	0.15116776
"GMW_01_0012"	3922883	35.55390113	0.161162586
"GMW_02_0001"	3922973	37.18755236	0.157432632
"GMW_02_0002"	3921505	34.04109589	0.149838001
"GMW_02_0003"	3922973	37.18755236	0.157432632
"GMW_02_0004"	3923193	39	0.16103257
"GMW_02_0014"	3922973	37.18755236	0.157432632
"GMW_03_0007"	3923033	39	0.041526325
"GMW_03_0008"	3921793	37.16646317	0.1604038
"GMW_03_0009"	3921599	36.97514756	0.153073
"GMW_03_0015"	3923011	38.88159622	0.157207866
"GMW_04_0002"	3923205	39.38988164	0.148246783
"GMW_04_0003"	3923211	40.5127319	0.141535687
"GMW_04_0004"	3923101	38.98955516	0.152507798
"GMW_04_0005"	3923115	39.05885079	0.049318403
"GMW_04_0008"	3923209	39.63521094	0.054343286
"GMW_04_0012"	3923217	40.32432309	0.139069139
"GMW_04_0013"	3923213	39.49388507	0.052056457
"GMW_04_0019"	3923115	39.05885079	0.049318403
"GMW_05_0001"	3925013	35.68	0.029505224
"GMW_05_0002"	3925147	31.61191206	0.031043054
"GMW_05_0003"	3925149	30.99624023	0.033547381
"GMW_06_0002"	3925035	35.09449637	0.104149335
"GMW_06_0003"	3925067	33.5585901	0.043717527
"GMW_06_0004"	3925019	35.99601196	0.110583728
"GMW_06_0005"	3924997	35.32345828	0.113092276
"GMW_06_0006"	3925085	31.68937706	0.047548974
"GMW_07_0009"	3923087	37.64886059	0.08356704
"GMW_07_0010"	3921967	37	0.090296633
"GMW_07_0011"	3921945	37	0.100625263
"GMW_07_0012"	3922169	37	0.03295279
"GMW_07_0014"	3921615	33	0.149838001
"GMW_07_0015"	3921809	35.31328848	0.146946901
"GMW_07_0017"	3922211	37	0.04724631
"GMW_07_0024"	3921857	36	0.090011067
"GMW_08_0001"	3925123	28.72325468	0.04861594
"GMW_08_0003"	3924349	27.83609959	0.044607196
"GMW_08_0005"	3924361	27.54409193	0.045011917
"GMW_08_0006"	3925115	28.90832868	0.04831022
"GMW_08_0013"	3924057	31	0.091689093
"GMW010_0044"	3922901	36.51506149	0.149838001
"GMW020_0035"	3923067	38.93367552	0.159962199
"GMW040_0040"	3923093	40.00997801	0.097658678
"GMW060_0021"	3924973	37	0.046611906
"GMW060_0022"	3925121	30.56508299	0.048588952
"GMW070_0117"	3922169	37	0.03295279
"LEA120_0009"	15650139	27	0.06880605
"LEJ050_0066"	15677179	43	0.149838001
"LEJ050_0068"	15677931	40.16110652	0.160895898
"LEJ060_0015"	15677997	39.93307258	0.149838001
"LEJ070_0028"	15679447	33.91573995	0.159470204
"LEJ080_0016"	15679019	45	0.149838001
"LEJ080_0017"	15678429	40.48946639	0.149838001
"LEJ090_0040"	15679073	40	0.149838001
"LEJ090_0041"	15679193	37	0.151803279
"LEJ100_0026"	15679363	29.98712446	0.162487447
"LEM010_0046"	15667743	30.69149472	0.129568549
"LEM010_0050"	15667547	31.08820295	0.179432411
"LEM010_0051"	15667751	29.01713586	0.129670508
"LEM010_0052"	15668379	27.80106762	0.13138489
"LES030_0002"	15672089	24	0.109505048
"LES040_0104"	15671981	24	0.059999999
"LMG_04_0039"	3396960	62	0.316807876
