"SAMPLEID","BFI","LAT","LONG","STATIONID","COLLDATE","INDEX_REGION_LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_LOW_N","nt_LOW_P","pi_Tol_13","pt_Achnan_Navic","pt_BC_12","pt_O_345","pt_PT_12","pt_SALINITY_34","pt_Sens_810","pt_BC_12_adj","SC_nt_LOW_N","SC_nt_LOW_P","SC_pi_Tol_13","SC_pt_Achnan_Navic","SC_pt_BC_12_adj","SC_pt_O_345","SC_pt_PT_12","SC_pt_SALINITY_34","SC_pt_Sens_810","sum_Index","Index","Index_Nar"
"AB01141",70.97912888,41.70230586,-86.05353902,"LMJ220-0014","8/25/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,4,10.6346483704974,17.2413793103448,24.1379310344828,24.1379310344828,6.89655172413793,6.89655172413793,24.1379310344828,9.03793103448276,57.1428571428571,NA,81.177815894797,18.0076628352491,100,NA,100,NA,NA,356.328335872903,71.2656671745806,"Satisfactory"
"AB01142",72,41.70590794,-85.89064202,"LMJ150-0023","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,9,6,18.2948490230906,17.8571428571429,28.5714285714286,25,8.92857142857143,7.14285714285714,26.7857142857143,13.4714285714286,100,NA,65.219064535228,21.4285714285714,100,NA,85.1648351648352,NA,NA,371.812471128635,74.3624942257269,"Satisfactory"
"AB01143",68,41.62983671,-86.27630195,"LMJ240-0046","8/25/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,6,5,17.4061433447099,23.8095238095238,14.2857142857143,39.6825396825397,12.6984126984127,20.6349206349206,14.2857142857143,-0.814285714285713,71.4285714285714,NA,67.0705346985211,54.4973544973545,51.1607142857143,NA,56.1660561660562,NA,NA,300.323231076217,60.0646462152435,"Satisfactory"
"AB01144",68,41.75285208,-86.56044447,"LMG100-0009","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,3.52348993288591,12.5,15.625,40.625,15.625,12.5,18.75,0.525,14.2857142857143,NA,95.9927293064877,0,59.53125,NA,33.6538461538462,NA,NA,203.463539746048,40.6927079492096,"Moderately Degraded"
"AB01145",72.05375833,41.74344019,-85.80186949,"LMJ130-0008","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",599,4,3,13.8795986622074,22.5,15,30,7.5,7.5,12.5,-0.0999999999999996,42.8571428571429,NA,74.417502787068,47.2222222222222,55.625,NA,96.1538461538462,NA,NA,316.275714020279,63.2551428040558,"Satisfactory"
"AB01146",38.0733778,41.56724967,-87.25499007,"LMG040-0012","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,19.5578231292517,28.2608695652174,8.69565217391304,45.6521739130435,17.3913043478261,17.3913043478261,15.2173913043478,-6.40434782608696,0,NA,62.5878684807256,79.2270531400966,16.2228260869565,NA,20.066889632107,NA,NA,178.104637339886,35.6209274679772,"Moderately Degraded"
"AB01146(B)",38.0733778,41.56724967,-87.25499007,"LMG040-0012","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,15.9052453468697,25.5813953488372,13.953488372093,41.8604651162791,13.953488372093,18.6046511627907,11.6279069767442,-1.14651162790698,28.5714285714286,NA,70.1974055273548,64.3410852713178,49.0843023255814,NA,46.5116279069767,NA,NA,258.705849602659,51.7411699205319,"Moderately Degraded"
"AB01147",71.37469649,41.71700343,-85.73606202,"LMJ140-0118","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,3,9.36454849498328,29.4117647058824,17.6470588235294,37.2549019607843,7.84313725490196,11.7647058823529,21.5686274509804,2.54705882352941,57.1428571428571,NA,83.8238573021182,85.6209150326797,72.1691176470588,NA,93.5143288084465,NA,NA,392.27107593316,78.4542151866321,"Exceptional"
"AB01148",30.97624253,41.43955886,-87.4396042,"LMG030-0028","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,23.6394557823129,21.5384615384615,10.7692307692308,38.4615384615385,16.9230769230769,27.6923076923077,15.3846153846154,-4.33076923076923,28.5714285714286,NA,54.0844671201814,41.8803418803419,29.1826923076923,NA,23.6686390532544,NA,NA,177.387568932899,35.4775137865797,"Moderately Degraded"
"AB01149",59.11046064,41.62320316,-86.98203028,"LMG060-0041","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,10.0840336134454,25.531914893617,10.6382978723404,27.6595744680851,8.51063829787234,19.1489361702128,17.0212765957447,-4.46170212765957,14.2857142857143,NA,82.3249299719888,64.0661938534279,28.3643617021277,NA,88.379705400982,NA,NA,277.420905214241,55.4841810428481,"Satisfactory"
