"SAMPLEID","BFI","LAT","LONG","STATIONID","COLLDATE","INDEX_REGION_LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_LOW_N","nt_LOW_P","pi_Tol_13","pt_Achnan_Navic","pt_BC_12","pt_O_345","pt_PT_12","pt_SALINITY_34","pt_Sens_810"
"AB01141",70.97912888,41.70230586,-86.05353902,"LMJ220-0014","8/25/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,4,10.6346483704974,17.2413793103448,24.1379310344828,24.1379310344828,6.89655172413793,6.89655172413793,24.1379310344828
"AB01142",72,41.70590794,-85.89064202,"LMJ150-0023","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,9,6,18.2948490230906,17.8571428571429,28.5714285714286,25,8.92857142857143,7.14285714285714,26.7857142857143
"AB01143",68,41.62983671,-86.27630195,"LMJ240-0046","8/25/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,6,5,17.4061433447099,23.8095238095238,14.2857142857143,39.6825396825397,12.6984126984127,20.6349206349206,14.2857142857143
"AB01144",68,41.75285208,-86.56044447,"LMG100-0009","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,3.52348993288591,12.5,15.625,40.625,15.625,12.5,18.75
"AB01145",72.05375833,41.74344019,-85.80186949,"LMJ130-0008","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",599,4,3,13.8795986622074,22.5,15,30,7.5,7.5,12.5
"AB01146",38.0733778,41.56724967,-87.25499007,"LMG040-0012","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,1,19.5578231292517,28.2608695652174,8.69565217391304,45.6521739130435,17.3913043478261,17.3913043478261,15.2173913043478
"AB01146(B)",38.0733778,41.56724967,-87.25499007,"LMG040-0012","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,15.9052453468697,25.5813953488372,13.953488372093,41.8604651162791,13.953488372093,18.6046511627907,11.6279069767442
"AB01147",71.37469649,41.71700343,-85.73606202,"LMJ140-0118","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,3,9.36454849498328,29.4117647058824,17.6470588235294,37.2549019607843,7.84313725490196,11.7647058823529,21.5686274509804
"AB01148",30.97624253,41.43955886,-87.4396042,"LMG030-0028","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,3,23.6394557823129,21.5384615384615,10.7692307692308,38.4615384615385,16.9230769230769,27.6923076923077,15.3846153846154
"AB01149",59.11046064,41.62320316,-86.98203028,"LMG060-0041","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,10.0840336134454,25.531914893617,10.6382978723404,27.6595744680851,8.51063829787234,19.1489361702128,17.0212765957447
"AB01150",35.17786674,41.43705905,-87.34159537,"LMG030-0029","8/23/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,44.0536013400335,32.258064516129,6.45161290322581,51.6129032258064,22.5806451612903,12.9032258064516,22.5806451612903
"AB01151",54.73334851,41.59400775,-87.04010532,"LMG060-0040","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,1,2,9.19732441471572,20.9677419354839,11.2903225806452,35.4838709677419,9.67741935483871,20.9677419354839,25.8064516129032
"AB01152",63,41.70818754,-86.8566544,"LMG070-0038","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,2,2,15.979381443299,26.4705882352941,16.1764705882353,26.4705882352941,8.82352941176471,16.1764705882353,19.1176470588235
"AB01153",51,41.47645003,-87.08488694,"LMG050-0121","8/24/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",51,1,1,28,15.7894736842105,5.26315789473684,42.1052631578947,10.5263157894737,15.7894736842105,10.5263157894737
"AB01156",64.00446927,41.50084841,-85.77981218,"LMJ190-0031","9/1/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,3,2,13.1849315068493,39.0243902439024,12.1951219512195,36.5853658536585,9.75609756097561,14.6341463414634,14.6341463414634
"AB01157",59.34675214,41.39577199,-85.5740041,"LMJ190-0032","8/30/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,7,6,17.717206132879,20.9302325581395,25.5813953488372,27.906976744186,13.953488372093,6.97674418604651,16.2790697674419
"AB01158",58.59608921,41.5067897,-85.39482668,"LMJ170-0080","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,9,8,29.6360485268631,16.9230769230769,20,30.7692307692308,12.3076923076923,7.69230769230769,29.2307692307692
"AB01159",62.8732687,41.67361047,-85.20509897,"LMJ110-0128","9/8/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",601,5,4,19.5205479452055,21.4285714285714,14.2857142857143,37.5,10.7142857142857,7.14285714285714,23.2142857142857
"AB01160",69.27464052,41.71498535,-85.45007777,"LMJ120-0048","9/8/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,6,4,9.09090909090909,25.4545454545455,18.1818181818182,27.2727272727273,10.9090909090909,10.9090909090909,21.8181818181818
"AB01161",65.05102281,41.5969324,-85.55686432,"LMJ140-0119","8/31/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,3,20.979020979021,20.3389830508475,15.2542372881356,37.2881355932203,11.864406779661,11.864406779661,23.728813559322
"AB01162",59.49966844,41.62740974,-85.10214613,"LMJ110-0129","9/8/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,4,4,16.3763066202091,19.2982456140351,17.5438596491228,31.5789473684211,10.5263157894737,12.280701754386,10.5263157894737
"AB01163",61.66756854,41.43246546,-85.7731631,"LMJ200-0060","8/30/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,9,5,19.1071428571429,25.4237288135593,25.4237288135593,23.728813559322,10.1694915254237,10.1694915254237,22.0338983050847
"AB01164",49.84243964,41.37007141,-85.43899615,"LMJ180-0049","8/30/2010","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,6,5,17.3986486486486,22.3880597014925,16.4179104477612,32.8358208955224,10.4477611940299,13.4328358208955,20.8955223880597
"AB01164(B)",49.84243964,41.37007141,-85.43899615,"LMJ180-0049","7/30/2016","High_Lithologic_Nitrogen","HIN","IDEM_2021_Diatoms",600,5,3,10.5263157894737,19.047619047619,15.8730158730159,38.0952380952381,12.6984126984127,11.1111111111111,17.4603174603175
